url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,292783504.sb3,11,1/4,2/4,0/4,0/4,2/4,2/4,1/4,0/4,3/4,0,0,0,1,None,Default,8,1/3,2/3,0/3,0/3,2/3,2/3,1/3,21
,282452810.sb3,28,4/4,3/4,4/4,3/4,4/4,2/4,4/4,3/4,1/4,7,1,0,0,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,284
,273493575.sb3,14,1/4,1/4,1/4,1/4,4/4,1/4,4/4,0/4,1/4,0,1,0,1,None,Default,11,1/3,1/3,1/3,1/3,3/3,1/3,3/3,56
,280534981.sb3,30,4/4,4/4,4/4,2/4,4/4,2/4,4/4,2/4,4/4,0,3,0,2,None,Default,19,3/3,3/3,3/3,2/3,3/3,2/3,3/3,161
,293758757.sb3,32,4/4,4/4,4/4,3/4,4/4,2/4,4/4,3/4,4/4,0,6,0,0,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,467
,300759062.sb3,21,1/4,4/4,0/4,4/4,4/4,1/4,2/4,1/4,4/4,2,0,6,2,None,Default,13,1/3,3/3,0/3,3/3,3/3,1/3,2/3,464
,285652163.sb3,17,1/4,4/4,0/4,4/4,2/4,1/4,1/4,0/4,4/4,0,0,0,0,None,Default,11,1/3,3/3,0/3,3/3,2/3,1/3,1/3,517
,276660611.sb3,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,analyzing,Default,,,,,,,,,None
,283330576.sb3,14,1/4,4/4,0/4,4/4,2/4,1/4,1/4,0/4,1/4,18,1,0,0,None,Default,11,1/3,3/3,0/3,3/3,2/3,1/3,1/3,376
,284118593.sb3,24,1/4,4/4,4/4,3/4,2/4,2/4,4/4,1/4,3/4,0,20,2,2,None,Default,17,1/3,3/3,3/3,3/3,2/3,2/3,3/3,209
,279499199.sb3,29,4/4,4/4,3/4,3/4,4/4,2/4,4/4,3/4,2/4,0,3,11,1,None,Default,20,3/3,3/3,3/3,3/3,3/3,2/3,3/3,345
,298633068.sb3,29,4/4,4/4,1/4,4/4,3/4,1/4,4/4,4/4,4/4,0,1,2,1,None,Default,17,3/3,3/3,1/3,3/3,3/3,1/3,3/3,291
